"hostphylogeny.taxon","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18"
"Chordeiles minor",1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"Chrysuronia oenone",1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"Cinclodes albidiventris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Cinclodes albiventris",0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"Cinclodes aricomae",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Cinclodes atacamensis",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"Cinclus leucocephalus",0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,0,0
"Cinnycerthia fulva",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"Cinnycerthia olivascens",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Cinnycerthia peruana",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cinnycerthia unirufa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Circus cinereus",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Cissopis leverianus",1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"Cistothorus platensis",0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1
"Claravis mondetoura",0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
"Claravis pretiosa",1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"Cnemarchus erythropygius",0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"Cnemoscopus chrysogaster",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cnemoscopus rubrirostris",0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"Cnemotriccus fuscatus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cnipodectes subbrunneus",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Cnipodectes superrufus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coccycua cinerea",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Coccycua minuta",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Coccyzus americanus",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
